NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Larimer County, Colorado",144605,33681,4327,25167,3358,8,69,52.0
"Logan County, Colorado",7220,1673,835,2951,42,8,75,16715.0
"San Miguel County, Colorado",2895,1373,122,508,44,8,113,1713.0
"Teller County, Colorado",7964,2115,513,2130,1187,8,119,635.0
"Elbert County, Colorado",10892,2274,289,1621,410,8,39,1734.0
"Las Animas County, Colorado",3370,1059,549,2289,73,8,71,1134.0
"Lincoln County, Colorado",838,263,82,320,16,8,73,1011.0
"Summit County, Colorado",12001,4086,208,1409,248,8,117,157.0
"Alamosa County, Colorado",3907,703,488,3046,55,8,3,4478.0
"Delta County, Colorado",6604,2442,904,4069,202,8,29,1580.0
"Fremont County, Colorado",10052,1997,1180,5013,709,8,43,2203.0
"Montrose County, Colorado",10271,2582,956,5593,460,8,85,2198.0
"Morgan County, Colorado",9884,1433,625,2996,107,8,87,3625.0
"Saguache County, Colorado",1221,448,239,1165,32,8,109,1875.0
"Prowers County, Colorado",3019,772,294,1763,56,8,99,723.0
"Washington County, Colorado",1379,399,96,564,49,8,121,1039.0
"Grand County, Colorado",5104,2040,180,791,69,8,49,190.0
"Otero County, Colorado",4656,841,666,3071,124,8,89,1882.0
"Broomfield County, Colorado",32206,5081,532,3000,641,8,14,1414.0
"Sussex County, Delaware",71453,13356,5852,21237,2060,10,5,2545.0
"District of Columbia, District of Columbia",302113,61972,13947,97494,6973,11,1,12804.0
